"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"63","BridgeAndVehicles-PT-V20P20N50_LTLC_15_","favoid",16,"ltl3hoa","seq",18.2554888888889,184.596007725234,-1,19584684,68691676,21156765.7,52983227.2,42.2,30298105.5,0,21156765.7,2711.6,2,8564500,1
"68","BridgeAndVehicles-PT-V20P20N50_LTLC_6_","favoid",16,"ltl3hoa","seq",15.3009377777778,184.89653876232,-1,19584684,68691676,21270169.1,50522924.3,41.7,27692319.5,0,21270169.1,2709.7,2,9532159,1
"73","BridgeAndVehicles-PT-V50P20N10_LTLC_8_","favoid",16,"ltl3hoa","seq",0.05976,1.61915508716923,10,17275.3,50981.4,19686.2,47500.5,1.1,12699.6,0,19686.2,5289.6,1,6189.4,4
"78","BridgeAndVehicles-PT-V80P50N20_LTLC_13_","favoid",16,"ltl3hoa","seq",0,999.999,-1,25094707.2,95270240.6,33336555.2,67966852.9,0,28519213.5,0,33336555.2,5216.8,1,26388798.3,1
"96","CircularTrains-PT-096_LTLF_12_","favoid",16,"ltl3hoa","seq",0,700,-1,135205248.9,948584353.2,138141716.2,833285960.1,0,690333621.2,0,138141716.2,11835.7,1,133170464.2,2
"100","CircularTrains-PT-192_LTLC_0_","favoid",16,"ltl3hoa","seq",0.0458233333333333,7.05406580269752,10,32862.3,340914.6,32879.1,342005.8,0,0,1,32879.1,32879.1,2,0,1
"115","Dekker-PT-020_LTLC_7_","favoid",16,"ltl3hoa","seq",184.84924,8.55508369682512,10,1360290.4,139279302.1,1372188.1,1372229.1,0,0.1,1,1372188.1,17,2,2793253.1,1
"139","FMS-PT-050_LTLC_8_","favoid",16,"ltl3hoa","seq",0,700,-1,66743475.2,734734679.7,115242888.1,115242888.1,0,0,0,115242888.1,16,2,268434462.5,1
"149","HouseConstruction-PT-005_LTLC_14_","favoid",16,"ltl3hoa","seq",0.0365333333333334,5.85718963485519,-1,1187984,7191111,2349297.6,3782640.7,0,1387366.7,0,2349297.6,1029.4,1,1113323,1
"154","HouseConstruction-PT-005_LTLC_6_","favoid",16,"ltl3hoa","seq",0.18489,5.77682926314465,-1,1187984,7191111,2502151.8,3304976.4,0,777402.5,0,2502151.8,1067.4,1,1144123,1
"163","HouseConstruction-PT-500_LTLC_12_","favoid",16,"ltl3hoa","seq",0.00144444444444445,1.01937240438543,10,93650.4,343816.8,94365.3,268676.9,1,0,0,94365.3,80141.7,1,75916.9,1
"195","IBMB2S565S3960-PT-none_LTLC_0_","favoid",16,"ltl3hoa","seq",0.220734444444444,1.7334228605417,10,8125.2,62990.2,8294.7,11149.3,0,144.3,1.1,8294.7,746,2,31274.7,1
"200","IOTPpurchase-PT-C03M03P03D03_LTLC_11_","favoid",16,"ltl3hoa","seq",0.08081,4.18195062821332,-1,354176,1684054,533139.1,2409701.5,0,1538134.1,0,533139.1,1463.1,1,41360,1
"205","IOTPpurchase-PT-C03M03P03D03_LTLC_14_","favoid",16,"ltl3hoa","seq",0.0147822222222222,4.11238727594807,-1,354176,1684054,526033.6,718349.4,0,147515.6,0,526033.6,791.6,1,342093,1
"210","Kanban-PT-1000_LTLC_5_","favoid",16,"ltl3hoa","seq",0,700,-1,91655276.5,1106888820.9,133298202,133298202,0,0,0,133298202,16,2,268434572.4,1
"220","MAPK-PT-160_LTLC_6_","favoid",16,"ltl3hoa","seq",0,700,-1,37464951.2,682362141.5,54211431,54211431,0,0,0,54211431,16,2,268434525.4,1
"229","ParamProductionCell-PT-2_LTLC_3_","favoid",16,"ltl3hoa","seq",0.0256844444444444,7.74050178844982,-1,349874,1380742,393276.7,586584.3,0,153854.4,0,393276.7,1330.6,1,313964,1
"234","ParamProductionCell-PT-3_LTLC_12_","favoid",16,"ltl3hoa","seq",0.268454444444444,12.5993614920279,10,1467397.1,5927936.1,1956239.9,3443832.5,0,1190665.2,1,1956239.9,3902.6,2,1465204,1
"239","ParamProductionCell-PT-4_LTLC_14_","favoid",16,"ltl3hoa","seq",0.28729,13.4934686191359,-1,2409739,9827662,2933427.1,9344219.2,0,5892841.3,0,2933427.1,1733.6,1,886014,1
"244","ParamProductionCell-PT-5_LTLC_6_","favoid",16,"ltl3hoa","seq",0.154315555555556,11.720167313477,-1,1657242,6746379,1823696.9,1973542.2,0,117065.1,0,1823696.9,1227.6,1,1657238,1
"249","PermAdmissibility-PT-01_LTLC_1_","favoid",16,"ltl3hoa","seq",0.00556,3.31324599859591,-1,105074,146576,113230.6,140878.7,18873.8,6172,0,113230.6,272,2,18688,1
"253","PermAdmissibility-PT-01_LTLC_12_","favoid",16,"ltl3hoa","seq",0.0580222222222222,4.10376810102456,-1,105073,146608,109677.8,132559.3,0,21511.4,0,109677.8,45.9,1,52536,4
"258","PermAdmissibility-PT-01_LTLC_5_","favoid",16,"ltl3hoa","seq",0.00857777777777777,3.418879103116,-1,105074,146576,110710,133814.6,18867.4,2958,0,110710,272,2,52472,1
"263","PhilosophersDyn-PT-10_LTLC_2_","favoid",16,"ltl3hoa","seq",0.0481955555555556,6.25853410930385,-1,199051,631375,200724.7,445011.5,0,240788.1,0,200724.7,144,1,92730,1
"267","QuasiCertifProtocol-PT-06_LTLC_11_","favoid",16,"ltl3hoa","seq",1.30797888888889,5.82259959561999,10,202723.3,1066993.4,206435.2,1098439.1,1395,866656.4,0,206435.2,596.7,1,8,5
"272","QuasiCertifProtocol-PT-06_LTLC_7_","favoid",16,"ltl3hoa","seq",0.121315555555556,14.4402347887903,-1,2271960,16012225,2517903.4,2552089.1,0,31771.7,0,2517903.4,171.4,1,2263829,1
"277","RwMutex-PT-r0020w0010_LTLC_3_","favoid",16,"ltl3hoa","seq",0.0550711111111112,7.95085576594252,-1,2097172,41943080,2160983.6,22088133.5,0,0,19923680.7,2160901.2,1030582.1,2,1048586,1
"282","SafeBus-PT-10_LTLF_9_","favoid",16,"ltl3hoa","seq",3.50435111111111,4.42136154704817,10,94132.8,501574.7,94161.2,471652.6,0,375447.3,1,94161.2,637.6,1,30200.9,2
"309","S_CircularTrains-PT-192_LTLC_0_","favoid",16,"ltl3hoa","seq",0.0264677777777778,7.00530484665886,10,34560.9,350158.4,34578.3,351288,0,0,1,34578.3,34578.3,2,0,1
